Cost;;;;;;;;;;;;;;;;;;;
Resource;Command Module;Solar Panels;Plant Module;Empty Module;Rocket Module;Hydrolysis module;Sleeping Module;Magnet Module;Storage Module;Cryogenic Modul;Radio Module;Human;;;;;;;
H2;0;0;0;0;0;0;0;0;0;120;0;0;;;;;;;
O2;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
H20;0;0;100;0;100;0;0;0;0;600;0;0;;;;;;;
Food;0;0;0;0;0;0;0;0;0;300;0;0;;;;;;;
Electricity;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
Fe;0;50;150;50;600;200;200;100;150;1200;300;0;;;;;;;
Si;0;25;0;0;200;100;0;200;0;800;150;0;;;;;;;
Human;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;
;;;;;;;;;;;;;;;;;;;
Generation/Consumption (per day or use);;;;;;;;;;;;;;;;;;;
Resource;Command Module;Solar Panels;Plant Module;Empty Module;Rocket Module;Hydrolysis module;Sleeping Module;Magnet Module;Storage Module;Cryogenic Modul;Radio Module;Human;;;;;;;
H2;0;0;0;0;-10;20;0;0;0;0;0;0;;;;;;;
O2;0;0;135;0;-80;160;0;0;0;0;0;-90;;;;;;;
H20;0;0;-120;0;630;-180;0;0;0;0;0;-60;;;;;;;
Food;0;0;72;0;-12;0;0;0;0;0;0;-36;;;;;;;
Electricity;-60;120;-45;-5;-120;-180;-60;-120;-45;0;-240;0;;;;;;;
Fe;0;0;0;0;300;0;0;0;0;0;0;0;;;;;;;
Si;0;0;0;0;100;0;0;0;0;0;0;0;;;;;;;
Human;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
